Name;Group
Dimenhydrinat (Vomex A) i.v. 30 mg;Antiemetika
Droperidol i.v. 0.625 mg;Antiemetika
Ondansetron (Zofran) p.o. 8 mg;Antiemetika
Ondansetron (Zofran) 4mg i.v. 4 mg;Antiemetika
Akrinor (Cafedrin, Theodrenalin) i.v. 0.3 ml;Herz/Kreislauf
Arterenol i.v. 0.01 µg/kg;Herz/Kreislauf
Arterenol 20mcg/ml i.v. 0.01 µg/kg;Herz/Kreislauf
Atropin 0.5mg i.v. 0.5 mg;Herz/Kreislauf
Ephedrin i.v. 5 mg;Herz/Kreislauf
Epinephrin i.v. 1 mg;Herz/Kreislauf
Clonidin (Catapresan) 150µg i.v. 75 µg;Antihypertensiva
Metoprolol (Beloc) 5mg i.v. 2 mg;Antihypertensiva
Flumazenil (Anexate) 0.5mg i.v. 0.5 mg;Antidota
Naloxon (Narcanti) 0.4mg i.v. 0.2 mg;Antidota
Physostigmin (Anticholium) 2mg i.v. 1 mg;Antidota
Prostigmin (Neostigmin) 10mg i.v. 1 mg;Antidota
Oxytocin 3 IE i.v. 3 IE;Geburtshilfe
Arixtra 2.5mg s.c. 2.5 mg;Sonstige
Clexane 0.4 s.c. 0.4 ml;Sonstige
Fluorescein i.v. 250 mg;Sonstige
Fragmin P 2500 IE s.c. 2500 IE;Sonstige
Ibuprofen i.v. 400 mg;Sonstige
Installagel transurethral 10 ml;Sonstige
Mono-Embolex 3000 IE s.c. 3000 IE;Sonstige
Xylometazolin (Otriven Einmalpipette) nasal 0.3 mg;Sonstige
Zentiva (Dexamethason) i.v. 5 mg;Sonstige
Adrenalin 1mg i.v. 0.2 mg;Notfallampullarium
Amiodaron (Cordarex) 150mg i.v. 150 mg;Notfallampullarium
Cimetidin (H2-Blocker) i.v. 200 mg;Notfallampullarium
Dimetinden (Fenistil) 4mg i.v. 4 mg;Notfallampullarium
Fenoterol DA (Berotec 100) Inhalation 0.1 mg;Notfallampullarium
Furosemid (Lasix) 40mg i.v. 10 mg;Notfallampullarium
Glucose 40% i.v. 5 ml;Notfallampullarium
Glyceroltrinitrat (Nitrolingual) s.l. 2 Hub;Notfallampullarium
Heparin Amp. 5000 IE i.v. 5000 IE;Notfallampullarium
Nifedipin (Adalat) 10mg s.l. 10 mg;Notfallampullarium
Prednisolon (Solu-Decortin) 1000mg i.v. 250 mg;Notfallampullarium
Ranitidin (Zantic) 50mg i.v. 50 mg;Notfallampullarium
Theophyllin (Bronchoparat) 200mg i.v. 20 mg;Notfallampullarium
Thiopental (Trapanal) 500mg i.v. 300 mg;Notfallampullarium
Urapidil (Ebrantil) 25mg i.v. 5 mg;Notfallampullarium
Verapamil (Isoptin) 5mg i.v. 1 mg;Notfallampullarium
AmoxiClav 2.2g Infusion 2.2 g;Antibiotika
Kefzol i.v. 2 g;Antibiotika
Amoxicilin (TBL) i.v. 1 mg;Freitext
Amoxicillin 1g p.o. 1000 mg;Freitext
Arterenol (Noradrenalin) 100µg/ml i.v. 5 µg;Freitext
Brufen 600mg Tbl. i.v. 600 mg;Freitext
Cefuroxim i.v. 500 mg;Freitext
Co Dafalgan i.v. 500 mg;Freitext
Co Dafalgan 500mg/30mg i.v. 500-1000 mg;Freitext
Dafalgan i.v. 1000 mg;Freitext
Mefenacid i.v. 500 mg;Freitext
NaCl 0.9% Infusion 10 ml;Freitext
Oxycodon-Naloxon-Mepha i.v. 10 mg;Freitext
Oxynorm i.v. 5-10 mg;Freitext
Paracetamol 1g i.v./100ml 1000 mg;Freitext
Paspertin 10mg i.v./2ml 10 mg;Freitext
Pethidin i.v. 12.5-25 mg;Freitext
Propofol 1% i.v. 5 mg;Freitext
Remifentanil (Ultiva) i.v. 1 µg;Freitext
Rocuronium (Esmeron) i.v. 1 mg;Freitext
Sumatriptan i.v. 50 mg;Freitext
Targin i.v. 10 mg;Freitext
Tavegil (Clemastin) i.v. 2 mg;Freitext
Tranexamsäure 500mg (Cyclokapron) Infusion 1000 mg;Freitext
Atrovent i.v. 1 ml;Freitext
Brufen i.v. 600 mg;Freitext
Co Dafalgan 1g i.v. 1000 mg;Freitext
Novalgin i.v. 500 mg;Freitext
Pantozol i.v. 20 mg;Freitext
Ponstan i.v. 500 mg;Freitext
TRRD i.v. 4 mg;Freitext
Ventolin i.v. 1 mg;Freitext
