nbchar;zcode;item type;text;codable;emitter;status;modification date;indent level;lateralite
3;Z00.2;X;Magnetic Resonance Imaging [MRI] (88.91.- - 88.97.-);non;;0;;3;
3;Z00.2;N;Echtzeitige Bildgebung von Blutgefässlumen mittels Schallwellen;non;;0;;3;
4;Z00.21;T;Intravaskuläre Bildgebung von extrakraniellen Hirngefässen;oui;;0;;4;Lateral
4;Z00.21;B;A. carotis communis und ihre Äste;non;;0;;4;
4;Z00.21;B;Intravaskulärer Ultraschall [IVUS], extrakranielle Hirngefässe;non;;0;;4;
4;Z00.21;X;Diagnostischer (nicht-invasiver) Ultraschall von Kopf und Hals (88.71.-);non;;0;;4;
4;Z00.22;T;Intravaskuläre Bildgebung von intrathorakalen Gefässen;oui;;0;;4;
4;Z00.22;B;Aorta und Aortenbogen;non;;0;;4;
4;Z00.22;B;Intravaskulärer Ultraschall [IVUS], intrathorakale Gefässe;non;;0;;4;
4;Z00.22;B;Vena cava (superior) (inferior);non;;0;;4;
4;Z00.22;X;Diagnostischer (nicht-invasiver) Ultraschall anderer Thoraxlokalisationen (88.73.-);non;;0;;4;
4;Z00.23;T;Intravaskuläre Bildgebung von peripheren Gefässen;oui;;0;;4;
4;Z00.23;B;Bildgebung von Arm-, Beingefäss(en);non;;0;;4;
4;Z00.23;B;Intravaskulärer Ultraschall [IVUS], periphere Gefässe;non;;0;;4;
4;Z00.25;T;Intravaskuläre Bildgebung der Nierengefässe;oui;;0;;4;Lateral
4;Z00.25;B;Intravaskulärer Ultraschall [IVUS], Nierengefässe;non;;0;;4;
4;Z00.25;B;Nierenarterie;non;;0;;4;
4;Z00.25;X;Diagnostischer Ultraschall (nicht invasiv) der Harnwege (88.75.-);non;;0;;4;
4;Z00.28;T;Intravaskuläre Bildgebung sonstiger bezeichneter Gefässe;oui;;0;;4;
3;Z00.3;T;Computergesteuerte Chirurgie;non;;0;;3;
3;Z00.3;B;Bildfreie und bildgesteuerte Navigation;non;;0;;3;
3;Z00.3;S;Diagnostische und therapeutische Massnahmen;non;;0;;3;
3;Z00.3;X;Radiographiegesteuerte Intervention (88.90.30);non;;0;;3;
3;Z00.3;X;Stereotaxiegesteuerte Intervention (88.90.20);non;;0;;3;
3;Z00.3;X;Ultraschallgesteuerte Intervention (88.79.51);non;;0;;3;
3;Z00.3;X;Ultrasound-guided focused ultrasound surgery [USgFUS] (00.99.A5);non;;0;;3;
3;Z00.3;N;Folgende Kodes sind Zusatzkodes. Der spezifische Eingriff ist separat zu kodieren.;non;;0;;3;
4;Z00.31;T;Computergesteuerte Chirurgie mit CT/CTA;complement;;0;;4;
4;Z00.31;X;CT-gesteuerte Intervention (88.38.60);non;;0;;4;
4;Z00.32;T;Computergesteuerte Chirurgie mit MR/MRA;complement;;0;;4;
4;Z00.32;X;Magnetic resonance-guided focused ultrasound surgery [MRgFUS] (00.99.A4);non;;0;;4;
4;Z00.33;T;Computergesteuerte Chirurgie mit Fluoroskopie;complement;;0;;4;
4;Z00.33;X;Fluoreszenzgestützte Therapieverfahren (00.99.70);non;;0;;4;
4;Z00.34;T;Bildfreie computergesteuerte Chirurgie;complement;;0;;4;
4;Z00.35;T;Computergesteuerte Chirurgie mit mehreren Datenquellen;complement;;0;;4;
4;Z00.39;T;Computergesteuerte Chirurgie, sonstige;complement;;0;;4;
4;Z00.39;B;Computergesteuerte Chirurgie, n.n.bez.;non;;0;;4;
3;Z00.4;T;Adjunktiv vaskuläre Massnahmen;non;;0;;3;
3;Z00.4;S;Endarteriektomie (38.10 - 38.18.-);non;;0;;3;
3;Z00.4;S;Jede Angioplastik oder Atherektomie (00.66.-, 39.72.-, 39.75.-, 39.76.-, 39.77.-, 39.79.-);non;;0;;3;
3;Z00.4;X;Intravaskuläre Bildgebung von Blutgefässen (00.21-00.28);non;;0;;3;
3;Z00.4;N;Die Kodes unter 00.4- sind Zusatzkodes. Sie bilden zusätzliche Massnahmen bei Eingriffen an Gefässen ab.  Die spezifischen Eingriffe sind separat zu kodieren. Diese Kodes gelten für koronare und für periphere Gefässe. Richtig werden sowohl die Anzahl der operierten Gefässe, wie die Anzahl der eingesetzten Materialien angegeben.;non;;0;;3;
4;Z00.40;T;Massnahme auf einem Gefäss;complement;;0;;4;
4;Z00.40;B;Anzahl von Gefässen, nicht näher bezeichnet;non;;0;;4;
4;Z00.40;X;(Aorto)koronarer Bypass (36.10 - 36.1D.-);non;;0;;4;
4;Z00.40;N;Dieser Zusatzkode ist, falls zutreffend, je Eingriff zu erfassen.;non;;0;;4;
4;Z00.41;T;Massnahme auf zwei Gefässen;complement;;0;;4;
4;Z00.41;X;(Aorto)koronarer Bypass (36.10 - 36.1D.-);non;;0;;4;
4;Z00.41;N;Dieser Zusatzkode ist, falls zutreffend, je Eingriff zu erfassen. Die Summe der behandelten Gefässe pro Eingriff ist abzubilden.;non;;0;;4;
4;Z00.42;T;Massnahme auf drei Gefässen;complement;;0;;4;
4;Z00.42;X;(Aorto)koronarer Bypass (36.10 - 36.1D.-);non;;0;;4;
4;Z00.42;N;Dieser Zusatzkode ist, falls zutreffend, je Eingriff zu erfassen. Die Summe der behandelten Gefässe pro Eingriff ist abzubilden.;non;;0;;4;
4;Z00.43;T;Massnahmen auf vier oder weiteren Gefässen;complement;;0;;4;
4;Z00.43;X;(Aorto)koronarer Bypass (36.10 - 36.1D.-);non;;0;;4;
4;Z00.43;N;Dieser Zusatzkode ist, falls zutreffend, je Eingriff zu erfassen. Die Summe der behandelten Gefässe pro Eingriff ist abzubilden.;non;;0;;4;
4;Z00.44;T;Massnahme auf Gefässbifurkation;complement;;0;;4;
4;Z00.44;N;"Dieser Kode ist zu verwenden, um das Vorhandensein einer Gefässbifurkation festzuhalten; er beschreibt nicht einen spezifischen Bifurkationsstent. Dieser Kode darf nur einmal pro Operation angegeben werden, unabhängig der Anzahl behandelter Bifurkationen.";non;;0;;4;
4;Z00.4A;T;Anzahl verwendeter endovaskulärer Coils;non;;0;;4;
4;Z00.4A;B;Anzahl verwendeter endovaskulärer Metallspiralen;non;;0;;4;
4;Z00.4A;X;Eingesetzte vaskuläre Verschlussdevices in den Ductus arteriosus Botalli, nach Anzahl (00.4G.7-);non;;0;;4;
4;Z00.4A;N;Die überlangen endovaskulären Coils werden mit 00.4A.4- erfasst. Sie sind nicht zur Anzahl der Coils unter 00.4A.5- (thorakale, abdominale und periphere), 00.4A.8- (intrakraniell) und 00.4A.A- (extrakraniell an Kopf und Hals) mitzuzählen. 00.4A.6- (spinal) und 00.4A.7- (Koronarien) werden hier nicht erwähnt, da an diesen Lokalisationen keine überlangen Coils eingesetzt werden.;non;;0;;4;
5;Z00.4A.4;T;Eingesetzte endovaskuläre überlange Coils, nach Anzahl;non;;0;;5;
5;Z00.4A.4;N;Überlange Coils sind Coils ab einer Länge von 30 cm.;non;;0;;5;
6;Z00.4A.41;T;Eingesetzte endovaskuläre überlange Coils, 1 überlanger Coil;complement;;0;;6;
6;Z00.4A.42;T;Eingesetzte endovaskuläre überlange Coils, 2 überlange Coils;complement;;0;;6;
6;Z00.4A.43;T;Eingesetzte endovaskuläre überlange Coils, 3 überlange Coils;complement;;0;;6;
6;Z00.4A.44;T;Eingesetzte endovaskuläre überlange Coils, 4 überlange Coils;complement;;0;;6;
6;Z00.4A.45;T;Eingesetzte endovaskuläre überlange Coils, 5 überlange Coils;complement;;0;;6;
6;Z00.4A.47;T;Eingesetzte endovaskuläre überlange Coils, 6 überlange Coils;complement;;0;;6;
6;Z00.4A.48;T;Eingesetzte endovaskuläre überlange Coils, 7 überlange Coils;complement;;0;;6;
6;Z00.4A.4A;T;Eingesetzte endovaskuläre überlange Coils, 8 überlange Coils;complement;;0;;6;
6;Z00.4A.4B;T;Eingesetzte endovaskuläre überlange Coils, 9 überlange Coils;complement;;0;;6;
6;Z00.4A.4C;T;Eingesetzte endovaskuläre überlange Coils, 10 überlange Coils;complement;;0;;6;
6;Z00.4A.4D;T;Eingesetzte endovaskuläre überlange Coils, 11 überlange Coils;complement;;0;;6;
6;Z00.4A.4E;T;Eingesetzte endovaskuläre überlange Coils, 12 überlange Coils;complement;;0;;6;
6;Z00.4A.4F;T;Eingesetzte endovaskuläre überlange Coils, 13 überlange Coils;complement;;0;;6;
6;Z00.4A.4G;T;Eingesetzte endovaskuläre überlange Coils, 14 überlange Coils;complement;;0;;6;
6;Z00.4A.4H;T;Eingesetzte endovaskuläre überlange Coils, 15 überlange Coils;complement;;0;;6;
6;Z00.4A.4I;T;Eingesetzte endovaskuläre überlange Coils, 16 überlange Coils;complement;;0;;6;
6;Z00.4A.4J;T;Eingesetzte endovaskuläre überlange Coils, 17 überlange Coils;complement;;0;;6;
6;Z00.4A.4K;T;Eingesetzte endovaskuläre überlange Coils, 18 überlange Coils;complement;;0;;6;
6;Z00.4A.4L;T;Eingesetzte endovaskuläre überlange Coils, 19 überlange Coils;complement;;0;;6;
6;Z00.4A.4M;T;Eingesetzte endovaskuläre überlange Coils, 20 überlange Coils;complement;;0;;6;
6;Z00.4A.4N;T;Eingesetzte endovaskuläre überlange Coils, 21 überlange Coils;complement;;0;;6;
6;Z00.4A.4O;T;Eingesetzte endovaskuläre überlange Coils, 22 überlange Coils;complement;;0;;6;
6;Z00.4A.4P;T;Eingesetzte endovaskuläre überlange Coils, 23 überlange Coils;complement;;0;;6;
6;Z00.4A.4Q;T;Eingesetzte endovaskuläre überlange Coils, 24 überlange Coils;complement;;0;;6;
6;Z00.4A.4R;T;Eingesetzte endovaskuläre überlange Coils, 25 überlange Coils;complement;;0;;6;
6;Z00.4A.4S;T;Eingesetzte endovaskuläre überlange Coils, 26 überlange Coils;complement;;0;;6;
6;Z00.4A.4T;T;Eingesetzte endovaskuläre überlange Coils, 27 überlange Coils;complement;;0;;6;
6;Z00.4A.4U;T;Eingesetzte endovaskuläre überlange Coils, 28 und mehr überlange Coils;complement;;0;;6;
5;Z00.4A.5;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, nach Anzahl;non;;0;;5;
5;Z00.4A.5;X;Eingesetzte endovaskuläre Coils in spinale Gefässe, nach Anzahl (00.4A.6-);non;;0;;5;
5;Z00.4A.5;X;Eingesetzte endovaskuläre überlange Coils, nach Anzahl (00.4A.4-);non;;0;;5;
6;Z00.4A.51;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 1 Coil;complement;;0;;6;
6;Z00.4A.52;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 2 Coils;complement;;0;;6;
6;Z00.4A.53;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 3 Coils;complement;;0;;6;
6;Z00.4A.54;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 4 Coils;complement;;0;;6;
6;Z00.4A.55;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 5 Coils;complement;;0;;6;
6;Z00.4A.56;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 6 Coils;complement;;0;;6;
6;Z00.4A.57;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 7 Coils;complement;;0;;6;
6;Z00.4A.58;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 8 Coils;complement;;0;;6;
6;Z00.4A.5A;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 9 Coils;complement;;0;;6;
6;Z00.4A.5B;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 10 Coils;complement;;0;;6;
6;Z00.4A.5C;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 11 Coils;complement;;0;;6;
6;Z00.4A.5D;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 12 Coils;complement;;0;;6;
6;Z00.4A.5E;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 13 Coils;complement;;0;;6;
6;Z00.4A.5F;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 14 Coils;complement;;0;;6;
6;Z00.4A.5G;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 15 Coils;complement;;0;;6;
6;Z00.4A.5H;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 16 Coils;complement;;0;;6;
6;Z00.4A.5I;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 17 Coils;complement;;0;;6;
6;Z00.4A.5J;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 18 Coils;complement;;0;;6;
6;Z00.4A.5K;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 19 Coils;complement;;0;;6;
6;Z00.4A.5L;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 20 Coils;complement;;0;;6;
6;Z00.4A.5M;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 21 Coils;complement;;0;;6;
6;Z00.4A.5N;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 22 Coils;complement;;0;;6;
6;Z00.4A.5O;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 23 Coils;complement;;0;;6;
6;Z00.4A.5P;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 24 Coils;complement;;0;;6;
6;Z00.4A.5Q;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 25 Coils;complement;;0;;6;
6;Z00.4A.5R;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 26 Coils;complement;;0;;6;
6;Z00.4A.5S;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 27 Coils;complement;;0;;6;
6;Z00.4A.5T;T;Eingesetzte endovaskuläre Coils in thorakale, abdominale und periphere Gefässe, 28 und mehr Coils;complement;;0;;6;
5;Z00.4A.6;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, nach Anzahl;non;;0;;5;
6;Z00.4A.61;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 1 Coil;complement;;0;;6;
6;Z00.4A.62;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 2 Coils;complement;;0;;6;
6;Z00.4A.63;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 3 Coils;complement;;0;;6;
6;Z00.4A.64;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 4 Coils;complement;;0;;6;
6;Z00.4A.65;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 5 Coils;complement;;0;;6;
6;Z00.4A.66;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 6 Coils;complement;;0;;6;
6;Z00.4A.67;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 7 Coils;complement;;0;;6;
6;Z00.4A.68;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 8 Coils;complement;;0;;6;
6;Z00.4A.6A;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 9 Coils;complement;;0;;6;
6;Z00.4A.6B;T;Eingesetzte endovaskuläre Coils in spinale Gefässe, 10 und mehr Coils;complement;;0;;6;
5;Z00.4A.7;T;Eingesetzte endovaskuläre Coils in Koronarien, nach Anzahl;non;;0;;5;
6;Z00.4A.71;T;Eingesetzte endovaskuläre Coils in Koronarien, 1 Coil;complement;;0;;6;
6;Z00.4A.72;T;Eingesetzte endovaskuläre Coils in Koronarien, 2 Coils;complement;;0;;6;
6;Z00.4A.73;T;Eingesetzte endovaskuläre Coils in Koronarien, 3 Coils;complement;;0;;6;
6;Z00.4A.74;T;Eingesetzte endovaskuläre Coils in Koronarien, 4 Coils;complement;;0;;6;
6;Z00.4A.75;T;Eingesetzte endovaskuläre Coils in Koronarien, 5 und mehr Coils;complement;;0;;6;
5;Z00.4A.8;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, nach Anzahl;non;;0;;5;
5;Z00.4A.8;X;Eingesetzte endovaskuläre überlange Coils, nach Anzahl (00.4A.4-);non;;0;;5;
6;Z00.4A.81;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 1 Coil;complement;;0;;6;
6;Z00.4A.82;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 2 Coils;complement;;0;;6;
6;Z00.4A.83;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 3 Coils;complement;;0;;6;
6;Z00.4A.84;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 4 Coils;complement;;0;;6;
6;Z00.4A.85;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 5 Coils;complement;;0;;6;
6;Z00.4A.86;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 6 Coils;complement;;0;;6;
6;Z00.4A.87;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 7 Coils;complement;;0;;6;
6;Z00.4A.88;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 8 Coils;complement;;0;;6;
6;Z00.4A.8A;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 9 Coils;complement;;0;;6;
6;Z00.4A.8B;T;Eingesetzte endovaskuläre Coils in intrakranielle Gefässe, 10 und mehr Coils;complement;;0;;6;
5;Z00.4A.A;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, nach Anzahl;non;;0;;5;
5;Z00.4A.A;X;Eingesetzte endovaskuläre überlange Coils, nach Anzahl (00.4A.4-);non;;0;;5;
6;Z00.4A.A1;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 1 Coil;complement;;0;;6;
6;Z00.4A.A2;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 2 Coils;complement;;0;;6;
6;Z00.4A.A3;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 3 Coils;complement;;0;;6;
6;Z00.4A.A4;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 4 Coils;complement;;0;;6;
6;Z00.4A.A5;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 5 Coils;complement;;0;;6;
6;Z00.4A.A6;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 6 Coils;complement;;0;;6;
6;Z00.4A.A7;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 7 Coils;complement;;0;;6;
6;Z00.4A.A8;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 8 Coils;complement;;0;;6;
6;Z00.4A.AA;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 9 Coils;complement;;0;;6;
6;Z00.4A.AB;T;Eingesetzte endovaskuläre Coils in extrakranielle Gefässe an Kopf und Hals, 10 und mehr Coils;complement;;0;;6;
4;Z00.4B;T;Anatomische Lokalisation von gewissen perkutan-transluminalen Katheterinterventionen [PTKI];non;;0;;4;
5;Z00.4B.0;T;Detail der Subkategorie 00.4B;non;;0;;5;
6;Z00.4B.00;T;Anatomische Lokalisation von gewissen perkutan-transluminalen Katheterinterventionen [PTKI], Lokalisation n.n.bez.;complement;;0;;6;
6;Z00.4B.09;T;Anatomische Lokalisation von gewissen perkutan-transluminalen Katheterinterventionen [PTKI], sonstige Lokalisation;complement;;0;;6;
5;Z00.4B.1;T;Perkutan-transluminale Katheterintervention [PTKI] an Arterien;non;;0;;5;
6;Z00.4B.10;T;PTKI an Arterien, n.n.bez.;complement;;0;;6;
6;Z00.4B.11;T;PTKI an Arterien der oberen Extremität oder Schulter;complement;;0;;6;Lateral
6;Z00.4B.12;T;PTKI an der Aorta;complement;;0;;6;
6;Z00.4B.13;T;PTKI an Lungengefässen;complement;;0;;6;Lateral
6;Z00.4B.14;T;PTKI an anderen thorakalen Arterien;complement;;0;;6;
6;Z00.4B.15;T;PTKI an viszeralen Arterien;complement;;0;;6;
6;Z00.4B.15;X;A. renalis (00.4B.16);non;;0;;6;
6;Z00.4B.16;T;PTKI an der A. renalis;complement;;0;;6;Lateral
6;Z00.4B.17;T;PTKI an anderen abdominalen Arterien;complement;;0;;6;
6;Z00.4B.18;T;PTKI an Oberschenkel- Arterien und A. poplitea;complement;;0;;6;Lateral
6;Z00.4B.19;T;PTKI an Arterien an anderer Lokalisation;complement;;0;;6;
6;Z00.4B.1A;T;PTKI an Unterschenkel- Arterien;complement;;0;;6;Lateral
5;Z00.4B.2;T;Perkutan-transluminale Katheterintervention [PTKI] an Venen;non;;0;;5;
6;Z00.4B.20;T;PTKI an Venen, n.n.bez.;complement;;0;;6;
6;Z00.4B.21;T;PTKI an Venen der oberen Extremität oder Schulter;complement;;0;;6;Lateral
6;Z00.4B.22;T;PTKI an der V. Cava;complement;;0;;6;
6;Z00.4B.23;T;PTKI an anderen thorakalen Venen;complement;;0;;6;
6;Z00.4B.24;T;PTKI an Lebervenen;complement;;0;;6;
6;Z00.4B.25;T;PTKI an viszeralen Venen;complement;;0;;6;
6;Z00.4B.25;X;Lebervenen (00.4B.24);non;;0;;6;
6;Z00.4B.26;T;PTKI an anderen abdominalen Venen;complement;;0;;6;
6;Z00.4B.27;T;PTKI an Oberschenkel- Venen;complement;;0;;6;Lateral
6;Z00.4B.27;X;Epifasziale Venen (00.4B.30);non;;0;;6;
6;Z00.4B.28;T;PTKI an Unterschenkel- Venen;complement;;0;;6;Lateral
6;Z00.4B.28;X;Epifasziale Venen (00.4B.30);non;;0;;6;
6;Z00.4B.29;T;PTKI an Venen, sonstige;complement;;0;;6;
5;Z00.4B.3;T;Perkutan-transluminale Katheterintervention [PTKI] an epifaszialen Venen;non;;0;;5;
6;Z00.4B.30;T;PTKI an epifaszialen Venen, n.n.bez.;complement;;0;;6;
6;Z00.4B.31;T;PTKI an der V. saphena magna;complement;;0;;6;Lateral
6;Z00.4B.32;T;PTKI an der V. saphena parva;complement;;0;;6;Lateral
6;Z00.4B.33;T;PTKI an epifaszialen Seitenäste des Beines;complement;;0;;6;Lateral
6;Z00.4B.34;T;PTKI an epifaszialen Armvenen;complement;;0;;6;Lateral
6;Z00.4B.39;T;PTKI an epifaszialen Venen, sonstige;complement;;0;;6;
5;Z00.4B.4;T;Perkutan-transluminale Katheterintervention [PTKI] an künstlich angelegten Gefässen;non;;0;;5;
5;Z00.4B.4;N;Unter einem künstlich angelegten Gefäss wird ein Bypass, Shunt oder Gefässersatz mittels Interponat oder Gefässprothese [Stent-Graft] verstanden. Das künstlich angelegte Gefäss kann aus künstlichem, biologischen und autologem Material bestehen.;non;;0;;5;
